Departure Location,Departure Time,Arrival Location,Arrival Time,Flight Duration,Aircraft Type,Ticket Price,Passenger Type,Number of Tickets,Price per Ticket,Taxes & Fees,Total Price,Carry-on Baggage,Checked Baggage,Refund Policy,Scrape Time
TP Hồ Chí Minh (SGN),"06:55, 19/04/2025",Đà Nẵng (DAD),"08:25, 19/04/2025",1 giờ 30 phút,Máy bay: Airbus A321,Vietnam Airlines  Chuyến bay: VN110   Hạng vé : Q,Người lớn,1,"1,089,000 VNĐ","777,000 VNĐ","1,866,000 VNĐ",10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-04-12 22:00:00
TP Hồ Chí Minh (SGN),"16:40, 19/04/2025",Đà Nẵng (DAD),"18:05, 19/04/2025",1 giờ 25 phút,Máy bay: Airbus A321,Vietnam Airlines  Chuyến bay: VN140   Hạng vé : Q,Người lớn,1,"1,089,000 VNĐ","777,000 VNĐ","1,866,000 VNĐ",10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-04-12 22:00:00
TP Hồ Chí Minh (SGN),"15:10, 19/04/2025",Đà Nẵng (DAD),"16:35, 19/04/2025",1 giờ 25 phút,Máy bay: Airbus A321,Pacific Airlines  Chuyến bay: VN6036   Hạng vé : K,Người lớn,1,"1,349,000 VNĐ","797,000 VNĐ","2,146,000 VNĐ",7kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-04-12 22:00:01
TP Hồ Chí Minh (SGN),"17:55, 19/04/2025",Đà Nẵng (DAD),"19:15, 19/04/2025",1 giờ 20 phút,Máy bay: Airbus A321,Vietjet Air  Chuyến bay: VJ1634   Hạng vé : U1_ECO,Người lớn,1,"740,000 VNĐ","764,000 VNĐ","1,504,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-04-12 22:00:02
TP Hồ Chí Minh (SGN),"20:10, 19/04/2025",Đà Nẵng (DAD),"21:30, 19/04/2025",1 giờ 20 phút,Máy bay: Airbus A321,Vietjet Air  Chuyến bay: VJ1624   Hạng vé : U1_ECO,Người lớn,1,"740,000 VNĐ","764,000 VNĐ","1,504,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-04-12 22:00:02
TP Hồ Chí Minh (SGN),"21:25, 19/04/2025",Đà Nẵng (DAD),"22:50, 19/04/2025",1 giờ 25 phút,Máy bay: Airbus A320,Vietjet Air  Chuyến bay: VJ1644   Hạng vé : U1_ECO,Người lớn,1,"740,000 VNĐ","764,000 VNĐ","1,504,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-04-12 22:00:03
TP Hồ Chí Minh (SGN),"05:00, 19/04/2025",Đà Nẵng (DAD),"06:20, 19/04/2025",1 giờ 20 phút,320B,Vietjet Air  Chuyến bay: VJ1622   Hạng vé : J1_ECO,Người lớn,1,"890,000 VNĐ","776,000 VNĐ","1,666,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-04-12 22:00:03
TP Hồ Chí Minh (SGN),"09:35, 19/04/2025",Đà Nẵng (DAD),"10:55, 19/04/2025",1 giờ 20 phút,Máy bay: Airbus A321,Vietjet Air  Chuyến bay: VJ1640   Hạng vé : I1_ECO,Người lớn,1,"1,000,000 VNĐ","784,000 VNĐ","1,784,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-04-12 22:00:04
TP Hồ Chí Minh (SGN),"10:25, 19/04/2025",Đà Nẵng (DAD),"11:50, 19/04/2025",1 giờ 25 phút,Máy bay: Airbus A321,Vietjet Air  Chuyến bay: VJ654   Hạng vé : I1_ECO,Người lớn,1,"1,000,000 VNĐ","784,000 VNĐ","1,784,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-04-12 22:00:05
TP Hồ Chí Minh (SGN),"12:30, 19/04/2025",Đà Nẵng (DAD),"13:50, 19/04/2025",1 giờ 20 phút,320B,Vietjet Air  Chuyến bay: VJ648   Hạng vé : B1_ECO,Người lớn,1,"1,120,000 VNĐ","794,000 VNĐ","1,914,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-04-12 22:00:05
