Departure Location,Departure Time,Arrival Location,Arrival Time,Flight Duration,Aircraft Type,Ticket Price,Passenger Type,Number of Tickets,Price per Ticket,Taxes & Fees,Total Price,Carry-on Baggage,Checked Baggage,Refund Policy,Scrape Time
TP Hồ Chí Minh (SGN),"22:55, 16/04/2025",Hà Nội (HAN),"01:05, 17/04/2025",2 giờ 10 phút,Máy bay: Airbus A320,Vietjet Air  Chuyến bay: VJ1168   Hạng vé : W1_ECO,Người lớn,1,"1,010,000 VNĐ","785,000 VNĐ","1,795,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 09:09:57
TP Hồ Chí Minh (SGN),"23:35, 16/04/2025",Hà Nội (HAN),"01:45, 17/04/2025",2 giờ 10 phút,Máy bay: Airbus A321,Vietjet Air  Chuyến bay: VJ1170   Hạng vé : W1_ECO,Người lớn,1,"1,010,000 VNĐ","785,000 VNĐ","1,795,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 09:09:57
TP Hồ Chí Minh (SGN),"05:00, 16/04/2025",Hà Nội (HAN),"07:10, 16/04/2025",2 giờ 10 phút,320B,Vietjet Air  Chuyến bay: VJ1198   Hạng vé : U1_ECO,Người lớn,1,"1,130,000 VNĐ","795,000 VNĐ","1,925,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 09:09:57
TP Hồ Chí Minh (SGN),"06:15, 16/04/2025",Hà Nội (HAN),"08:25, 16/04/2025",2 giờ 10 phút,Máy bay: Airbus A321,Vietjet Air  Chuyến bay: VJ196   Hạng vé : U1_ECO,Người lớn,1,"1,130,000 VNĐ","795,000 VNĐ","1,925,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 09:09:58
TP Hồ Chí Minh (SGN),"07:10, 16/04/2025",Hà Nội (HAN),"09:20, 16/04/2025",2 giờ 10 phút,Máy bay: Airbus A321,Vietjet Air  Chuyến bay: VJ190   Hạng vé : U1_ECO,Người lớn,1,"1,130,000 VNĐ","795,000 VNĐ","1,925,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 09:09:59
TP Hồ Chí Minh (SGN),"07:30, 16/04/2025",Hà Nội (HAN),"09:40, 16/04/2025",2 giờ 10 phút,Máy bay: Airbus A321,Vietjet Air  Chuyến bay: VJ120   Hạng vé : U1_ECO,Người lớn,1,"1,130,000 VNĐ","795,000 VNĐ","1,925,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 09:09:59
TP Hồ Chí Minh (SGN),"12:25, 16/04/2025",Hà Nội (HAN),"14:35, 16/04/2025",2 giờ 10 phút,Máy bay: Airbus A321,Vietjet Air  Chuyến bay: VJ1138   Hạng vé : U1_ECO,Người lớn,1,"1,130,000 VNĐ","795,000 VNĐ","1,925,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 09:10:00
TP Hồ Chí Minh (SGN),"13:10, 16/04/2025",Hà Nội (HAN),"15:20, 16/04/2025",2 giờ 10 phút,Máy bay: Airbus A321,Vietjet Air  Chuyến bay: VJ140   Hạng vé : U1_ECO,Người lớn,1,"1,130,000 VNĐ","795,000 VNĐ","1,925,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 09:10:01
TP Hồ Chí Minh (SGN),"14:05, 16/04/2025",Hà Nội (HAN),"16:10, 16/04/2025",2 giờ 5 phút,Máy bay: Airbus A320,Vietjet Air  Chuyến bay: VJ1148   Hạng vé : U1_ECO,Người lớn,1,"1,130,000 VNĐ","795,000 VNĐ","1,925,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 09:10:01
TP Hồ Chí Minh (SGN),"17:20, 16/04/2025",Hà Nội (HAN),"19:30, 16/04/2025",2 giờ 10 phút,Máy bay: Airbus A321,Vietjet Air  Chuyến bay: VJ1152   Hạng vé : U1_ECO,Người lớn,1,"1,130,000 VNĐ","795,000 VNĐ","1,925,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 09:10:02
TP Hồ Chí Minh (SGN),"19:40, 16/04/2025",Hà Nội (HAN),"21:50, 16/04/2025",2 giờ 10 phút,Máy bay: Airbus A321,Vietjet Air  Chuyến bay: VJ1158   Hạng vé : U1_ECO,Người lớn,1,"1,130,000 VNĐ","795,000 VNĐ","1,925,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 09:10:02
TP Hồ Chí Minh (SGN),"20:30, 16/04/2025",Hà Nội (HAN),"22:40, 16/04/2025",2 giờ 10 phút,Máy bay: Airbus A321,Vietjet Air  Chuyến bay: VJ180   Hạng vé : U1_ECO,Người lớn,1,"1,130,000 VNĐ","795,000 VNĐ","1,925,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 09:10:03
