Departure Location,Departure Time,Arrival Location,Arrival Time,Flight Duration,Aircraft Type,Passenger Type,Number of Tickets,Price per Ticket,Taxes & Fees,Total Price,Carry-on Baggage,Checked Baggage,Refund Policy,Scrape Time,Airline,Flight Code,Fare Class
TP Hồ Chí Minh (SGN),2025-04-01 09:20:00,Hà Nội (HAN),2025-04-01 11:30:00,2.17,Airbus A320,Người lớn,1,1790000,848000,2638000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:56:02,Vietjet Air,VJ124,H1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 09:40:00,Hà Nội (HAN),2025-04-01 11:50:00,2.17,Airbus A320,Người lớn,1,1790000,848000,2638000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:56:03,Vietjet Air,VJ1132,H1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 10:25:00,Hà Nội (HAN),2025-04-01 12:35:00,2.17,320B,Người lớn,1,1790000,848000,2638000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:56:03,Vietjet Air,VJ1130,H1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 12:10:00,Hà Nội (HAN),2025-04-01 14:20:00,2.17,Airbus A330,Người lớn,1,1790000,848000,2638000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:56:04,Vietjet Air,VJ178,H1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 13:10:00,Hà Nội (HAN),2025-04-01 15:20:00,2.17,Airbus A321,Người lớn,1,1790000,848000,2638000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:56:05,Vietjet Air,VJ140,H1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 15:25:00,Hà Nội (HAN),2025-04-01 17:35:00,2.17,Airbus A321,Người lớn,1,1790000,848000,2638000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:56:05,Vietjet Air,VJ146,H1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 10:40:00,Hà Nội (HAN),2025-04-01 12:50:00,2.17,Airbus A320,Người lớn,1,1839000,852000,2691000,7kg,,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:56:06,Bamboo Airways,QH224,ECONOMYSMART
TP Hồ Chí Minh (SGN),2025-04-01 12:50:00,Hà Nội (HAN),2025-04-01 15:00:00,2.17,Airbus A320,Người lớn,1,1839000,852000,2691000,7kg,,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:56:06,Bamboo Airways,QH242,ECONOMYSMART
TP Hồ Chí Minh (SGN),2025-04-01 19:35:00,Hà Nội (HAN),2025-04-01 21:40:00,2.08,Boeing 787,Người lớn,1,2209000,866000,3075000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:56:07,Vietnam Airlines,VN262,K
TP Hồ Chí Minh (SGN),2025-04-01 20:00:00,Hà Nội (HAN),2025-04-01 22:05:00,2.08,Boeing 787,Người lớn,1,2209000,866000,3075000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:56:08,Vietnam Airlines,VN220,K
TP Hồ Chí Minh (SGN),2025-04-01 20:30:00,Hà Nội (HAN),2025-04-01 22:35:00,2.08,Airbus A321,Người lớn,1,2209000,866000,3075000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:56:07,Vietnam Airlines,VN256,K
TP Hồ Chí Minh (SGN),2025-04-01 21:00:00,Hà Nội (HAN),2025-04-01 23:05:00,2.08,Airbus A321,Người lớn,1,2209000,866000,3075000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:56:08,Vietnam Airlines,VN260,K
TP Hồ Chí Minh (SGN),2025-04-01 14:00:00,Hà Nội (HAN),2025-04-01 16:05:00,2.08,Boeing 787,Người lớn,1,2419000,883000,3302000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:56:08,Vietnam Airlines,VN214,H
TP Hồ Chí Minh (SGN),2025-04-01 15:00:00,Hà Nội (HAN),2025-04-01 17:05:00,2.08,Boeing 787,Người lớn,1,2419000,883000,3302000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:56:09,Vietnam Airlines,VN250,H
TP Hồ Chí Minh (SGN),2025-04-01 16:40:00,Hà Nội (HAN),2025-04-01 18:45:00,2.08,Airbus A321,Người lớn,1,2419000,883000,3302000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:56:10,Vietnam Airlines,VN252,H
TP Hồ Chí Minh (SGN),2025-04-01 18:00:00,Hà Nội (HAN),2025-04-01 20:05:00,2.08,Airbus A350,Người lớn,1,2419000,883000,3302000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:56:10,Vietnam Airlines,VN218,H
TP Hồ Chí Minh (SGN),2025-04-01 06:30:00,Hà Nội (HAN),2025-04-01 08:40:00,2.17,Airbus A321,Người lớn,1,2609000,898000,3507000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:56:11,Vietnam Airlines,VN7206,S
TP Hồ Chí Minh (SGN),2025-04-01 11:00:00,Hà Nội (HAN),2025-04-01 13:05:00,2.08,Boeing 787,Người lớn,1,2609000,898000,3507000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:56:11,Vietnam Airlines,VN246,S
TP Hồ Chí Minh (SGN),2025-04-01 12:00:00,Hà Nội (HAN),2025-04-01 14:05:00,2.08,Airbus A359,Người lớn,1,2609000,898000,3507000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:56:12,Vietnam Airlines,VN212,S
TP Hồ Chí Minh (SGN),2025-04-01 13:00:00,Hà Nội (HAN),2025-04-01 15:05:00,2.08,Airbus A321,Người lớn,1,2789000,913000,3702000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé miễn phí', '- Miễn phí chọn ghế']",2025-03-31 08:56:13,Vietnam Airlines,VN248,M
TP Hồ Chí Minh (SGN),2025-04-01 19:00:00,Hà Nội (HAN),2025-04-01 21:05:00,2.08,Airbus A350,Người lớn,1,2789000,913000,3702000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé miễn phí', '- Miễn phí chọn ghế']",2025-03-31 08:56:13,Vietnam Airlines,VN258,M
TP Hồ Chí Minh (SGN),2025-04-01 22:00:00,Hà Nội (HAN),2025-04-02 00:05:00,2.08,Airbus A321,Người lớn,1,2789000,913000,3702000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé miễn phí', '- Miễn phí chọn ghế']",2025-03-31 08:56:14,Vietnam Airlines,VN224,M
TP Hồ Chí Minh (SGN),2025-04-01 10:00:00,Hà Nội (HAN),2025-04-01 12:05:00,2.08,Boeing 787,Người lớn,1,2937000,924000,3861000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé miễn phí', '- Miễn phí chọn ghế']",2025-03-31 08:56:15,Vietnam Airlines,VN210,B
TP Hồ Chí Minh (SGN),2025-04-01 06:00:00,Hà Nội (HAN),2025-04-01 08:05:00,2.08,Airbus A359,Người lớn,1,3137000,940000,4077000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên']",2025-03-31 08:56:15,Vietnam Airlines,VN206,U
TP Hồ Chí Minh (SGN),2025-04-01 07:00:00,Hà Nội (HAN),2025-04-01 09:05:00,2.08,Airbus A321,Người lớn,1,3137000,940000,4077000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên']",2025-03-31 08:56:16,Vietnam Airlines,VN240,U
TP Hồ Chí Minh (SGN),2025-04-01 08:00:00,Hà Nội (HAN),2025-04-01 10:05:00,2.08,Airbus A350,Người lớn,1,3137000,940000,4077000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên']",2025-03-31 08:56:16,Vietnam Airlines,VN208,U
TP Hồ Chí Minh (SGN),2025-04-01 23:00:00,Hà Nội (HAN),2025-04-02 01:05:00,2.08,Boeing 787,Người lớn,1,3137000,940000,4077000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:56:17,Vietnam Airlines,VN270,I
TP Hồ Chí Minh (SGN),2025-04-01 04:55:00,Hà Nội (HAN),2025-04-01 07:05:00,2.17,Airbus A321,Người lớn,1,3137000,940000,4077000,7kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:56:18,Pacific Airlines,VN6002,I
TP Hồ Chí Minh (SGN),2025-04-01 20:30:00,Hà Nội (HAN),2025-04-01 22:35:00,2.08,Airbus A321,Người lớn,1,3137000,940000,4077000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:56:18,Vietnam Airlines,VN256,I
TP Hồ Chí Minh (SGN),2025-04-01 21:00:00,Hà Nội (HAN),2025-04-01 23:05:00,2.08,Airbus A321,Người lớn,1,3137000,940000,4077000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:56:19,Vietnam Airlines,VN260,I
TP Hồ Chí Minh (SGN),2025-04-01 22:00:00,Hà Nội (HAN),2025-04-02 00:05:00,2.08,Airbus A321,Người lớn,1,3137000,940000,4077000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:56:20,Vietnam Airlines,VN224,I
TP Hồ Chí Minh (SGN),2025-04-01 06:00:00,Hà Nội (HAN),2025-04-01 08:05:00,2.08,Airbus A359,Người lớn,1,3837000,996000,4833000,18kg,32kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên', '- Miễn phí quầy ưu tiên', '- Miễn phí phòng chờ BSV']",2025-03-31 08:56:20,Vietnam Airlines,VN206,D
TP Hồ Chí Minh (SGN),2025-04-01 23:05:00,Hà Nội (HAN),2025-04-02 01:15:00,2.17,Airbus A321,Người lớn,1,4399000,1056000,5455000,14kg,40kg,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:56:21,Bamboo Airways,QH290,BUSINESSSMART
